No.,Date,Location,Winner,Score,
1,1892,"Charlottesville, VA",Virginia,30–18,
2,1892,"Atlanta, GA",North Carolina,26–0,
3,1893,"Richmond, VA",Virginia,16–0,
4,1894,"Richmond, VA",Virginia,34–0,
5,1895,"Richmond, VA",Virginia,6–0,
6,1896,"Richmond, VA",Virginia,46–0,
7,1897,"Richmond, VA",Virginia,12–0,
8,1898,"Richmond, VA",North Carolina,6–2,
9,1900,"Norfolk, VA",Virginia,17–0,
10,1901,"Norfolk, VA",Virginia,23–6,
11,1902,"Richmond, VA",Tie,12–12,
12,1903,"Richmond, VA",North Carolina,16–0,
13,1904,"Richmond, VA",Virginia,12–11,
14,1905,"Norfolk, VA",North Carolina,17–0,
15,1907,"Richmond, VA",Virginia,9–4,
16,1908,"Richmond, VA",Virginia,31–0,
17,1910,"Richmond, VA",Virginia,7–0,
18,1911,"Richmond, VA",Virginia,28–0,
19,1912,"Richmond, VA",Virginia,66–0,
20,1913,"Richmond, VA",Virginia,26–7,
21,1914,"Richmond, VA",Virginia,20–3,
22,1915,"Richmond, VA",Virginia,14–0,
23,1916,"Richmond, VA",North Carolina,7–0,
24,1919,"Chapel Hill, NC",North Carolina,6–0,
25,1920,"Charlottesville, VA",Virginia,14–0,
26,1921,"Chapel Hill, NC",North Carolina,7–3,
27,1922,"Charlottesville, VA",North Carolina,10–7,
28,1923,"Chapel Hill, NC",Tie,0–0,
29,1924,"Charlottesville, VA",Virginia,7–0,
30,1925,"Chapel Hill, NC",Tie,3–3,
31,1926,"Charlottesville, VA",Virginia,3–0,
32,1927,"Chapel Hill, NC",North Carolina,14–13,
33,1928,"Charlottesville, VA",North Carolina,24–20,
34,1929,"Chapel Hill, NC",North Carolina,41–7,
35,1930,"Charlottesville, VA",North Carolina,41–0,
36,1931,"Chapel Hill, NC",North Carolina,13–6,
37,1932,"Charlottesville, VA",Virginia,14–7,
38,1933,"Chapel Hill, NC",North Carolina,14–0,
39,1934,"Charlottesville, VA",North Carolina,25–6,
40,1935,"Chapel Hill, NC",North Carolina,61–0,
41,1936,"Charlottesville, VA",North Carolina,59–14,
42,1937,"Chapel Hill, NC",North Carolina,40–0,
43,1938,"Charlottesville, VA",North Carolina,20–0,
44,1939,"Chapel Hill, NC",North Carolina,19–0,
45,1940,"Charlottesville, VA",North Carolina,10–7,
46,1941,"Chapel Hill, NC",Virginia,28–7,
47,1942,"Charlottesville, VA",North Carolina,28–13,
48,1943,"Norfolk, VA",North Carolina,54–7,
49,1944,"Norfolk, VA",Virginia,26–7,
50,1945,"Chapel Hill, NC",North Carolina,27–18,
51,1946,"Charlottesville, VA",North Carolina,49–14,
52,1947,"Chapel Hill, NC",North Carolina,40–7,
53,1948,"Charlottesville, VA",North Carolina,34–12,
54,1949,"Chapel Hill, NC",North Carolina,14–7,
55,1950,"Charlottesville, VA",Virginia,44–13,
56,1951,"Charlottesville, VA",Virginia,34–14,
57,1952,"Chapel Hill, NC",Virginia,34–7,
58,1953,"Charlottesville, VA",North Carolina,33–7,
59,1954,"Charlottesville, VA",North Carolina,26–14,
60,1955,"Chapel Hill, NC",North Carolina,26–14,
61,1956,"Charlottesville, VA",North Carolina,21–7,
62,1957,"Chapel Hill, NC",Virginia,20–13,
63,1958,"Charlottesville, VA",North Carolina,42–0,
64,1959,"Chapel Hill, NC",North Carolina,41–0,
65,1960,"Charlottesville, VA",North Carolina,35–8,
66,1961,"Chapel Hill, NC",North Carolina,24–0,
67,1962,"Charlottesville, VA",North Carolina,11–7,
68,1963,"Chapel Hill, NC",North Carolina,11–7,
69,1964,"Charlottesville, VA",Virginia,31–27,
70,1965,"Chapel Hill, NC",Virginia,21–17,
71,1966,"Chapel Hill, NC",Virginia,21–14,
72,1967,"Charlottesville, VA",Virginia,40–17,
73,1968,"Chapel Hill, NC",Virginia,41–6,
74,1969,"Charlottesville, VA",North Carolina,12–0,
75,1970,"Chapel Hill, NC",North Carolina,30–15,
76,1971,"Charlottesville, VA",North Carolina,32–20,
77,1972,"Chapel Hill, NC",North Carolina,23–3,
78,1973,"Charlottesville, VA",Virginia,44–40,
79,1974,"Chapel Hill, NC",North Carolina,24–10,
80,1975,"Charlottesville, VA",North Carolina,31–28,
81,1976,"Chapel Hill, NC",North Carolina,31–6,
82,1977,"Charlottesville, VA",North Carolina,35–14,
83,1978,"Chapel Hill, NC",North Carolina,38–20,
84,1979,"Charlottesville, VA",North Carolina,13–7,
85,1980,"Chapel Hill, NC",North Carolina,26–3,
86,1981,"Charlottesville, VA",North Carolina,17–14,
87,1982,"Chapel Hill, NC",North Carolina,27–14,
88,1983,"Charlottesville, VA",Virginia,17–14,
89,1984,"Chapel Hill, NC",Tie,24–24,
90,1985,"Charlottesville, VA",Virginia,24–22,
91,1986,"Chapel Hill, NC",North Carolina,27–7,
92,1987,"Charlottesville, VA",Virginia,20–17,
93,1988,"Chapel Hill, NC",Virginia,27–24,
94,1989,"Charlottesville, VA",Virginia,50–17,
95,1990,"Chapel Hill, NC",Virginia,24–10,
96,1991,"Charlottesville, VA",Virginia,14–9,
97,1992,"Chapel Hill, NC",North Carolina,27–7,
98,1993,"Charlottesville, VA",Virginia,17–10,
99,1994,"Charlottesville, VA",Virginia,34–10,
100,1995,"Chapel Hill, NC",North Carolina,22–17,
101,1996,"Charlottesville, VA",Virginia,20–17,
102,1997,"Chapel Hill, NC",North Carolina,48–20,
103,1998,"Charlottesville, VA",Virginia,30–13,
104,1999,"Chapel Hill, NC",Virginia,20–17,
105,2000,"Charlottesville, VA",Virginia,17–6,
106,2001,"Chapel Hill, NC",North Carolina,30–24,
107,2002,"Charlottesville, VA",Virginia,37–27,
108,2003,"Chapel Hill, NC",Virginia,38–13,
109,2004,"Charlottesville, VA",Virginia,56–24,
110,2005,"Chapel Hill, NC",North Carolina,7–5,
111,2006,"Charlottesville, VA",Virginia,23–0,
112,2007,"Chapel Hill, NC",Virginia,22–20,
113,2008,"Charlottesville, VA",Virginia,16–13,
114,2009,"Chapel Hill, NC",Virginia,16–3,
115,2010,"Charlottesville, VA",North Carolina,44–10,
116,2011,"Chapel Hill, NC",North Carolina,28–17,
117,2012,"Charlottesville, VA",North Carolina,37–13,
118,2013,"Chapel Hill, NC",North Carolina,45–14,
119,2014,"Charlottesville, VA",North Carolina,28–27,
120,2015,"Chapel Hill, NC",North Carolina,26–13,
121,2016,"Charlottesville, VA",North Carolina,35–14,
122,2017,"Chapel Hill, NC",Virginia,20–14,
123,2018,"Charlottesville, VA",Virginia,31–21,
124,2019,"Chapel Hill, NC",Virginia,38–31,
